id,text,original_label,binary_label,source,language_hint,split,normalized_text,flagged_tokens,prediction
hasoc_proxy-10481,RT @ArmyBulldog20: @AcmeHandle Nothing that the Russians did in their support of the rebels surprises me. Putin views Obama as a pussy.,HOF,Bullying,hasoc_proxy,latin,unspecified,rt nothing that the russians did in their support of the rebels surprises me putin views obama as a pussy,[],Non-Bullying
hasoc_proxy-8516,Niggas trash AF,HOF,Bullying,hasoc_proxy,latin,unspecified,niggas trash af,[],Non-Bullying
hasoc_proxy-4532,"RT @SweetiePaii: RT if you listen to these bands &#128522;

A7X
PTV
SWS
ATL
BVB
ADTR
BMTH
YMAS
FOB
AA
Blink 182
TDG
SS
FIR
MCR

Follow me &amp; everyon&#8230;",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,rt rt if you listen to these bands 128522 a7x ptv sws atl bvb adtr bmth ymas fob aa blink 182 tdg ss fir mcr follow me amp everyon 8230,[],Bullying
hasoc_proxy-8930,@shaelynspacyyy they trash though?,HOF,Bullying,hasoc_proxy,latin,unspecified,they trash though?,[],Non-Bullying
hasoc_proxy-9623,Lmfao no you didnt RT @SS4_Fresh: @vivelacourtney got cute new avi and all but she too old for colored contacts &#128073;&#128064;&#128584;,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,lmfao no you didnt rt got cute new avi and all but she too old for colored contacts 128073 128064 128584,[],Bullying
hasoc_proxy-8583,I'm no man-hoe tho....,HOF,Bullying,hasoc_proxy,latin,unspecified,i m no manhoe tho,[],Non-Bullying
hasoc_proxy-9092,@jasongregory674 @Devondude1234 @hot_lads fuck yeah and hot big blk boots. This scally lad would get it.,HOF,Bullying,hasoc_proxy,latin,unspecified,fuck yeah and hot big blk boots this scally lad would get it,[],Non-Bullying
hasoc_proxy-10687,"@TasogarenoRaiko If you decide to do Damara, you should make her a gladiola. We have gorgeous rust-colored ones coming up over here.",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"if you decide to do damara, you should make her a gladiola we have gorgeous rustcolored ones coming up over here",[],Bullying
hasoc_proxy-9042,"@_tee13 @SoftestMuffin @TorahBlaze After you spread that filth of urs to that white dog, he &amp; the good ol boys were ltao on fuckin a monkey",HOF,Bullying,hasoc_proxy,latin,unspecified,"after you spread that filth of urs to that white dog, he amp the good ol boys were ltao on fuckin a monkey",[],Non-Bullying
hasoc_proxy-4781,I love going to @Walmart and looking at #guns with my wife. We talk about them in Spanish as the rednecks stare at us and reconsider #2A.,HOF,Bullying,hasoc_proxy,latin,unspecified,i love going to and looking at guns with my wife we talk about them in spanish as the rednecks stare at us and reconsider 2a,[],Non-Bullying
hasoc_proxy-1037,@denytheprophecy that's a dragon you retard,HOF,Bullying,hasoc_proxy,latin,unspecified,that s a dragon you retard,[],Non-Bullying
hasoc_proxy-1485,RT @TomOlson8: @1Dittlinger That has redneck written all over it lol. Drunks can use gravity to get down &#128563;,HOF,Bullying,hasoc_proxy,latin,unspecified,rt that has redneck written all over it lol drunks can use gravity to get down 128563,[],Non-Bullying
hasoc_proxy-11425,@ArcticFox2016 everybody mocks Obama .Hes an embarrassment to the USA.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,everybody mocks obama .hes an embarrassment to the usa,[],Bullying
hasoc_proxy-6112,@SteveWorks4You bush took 3 times as many vacations.. republican teabaggers are pusses....wah,HOF,Bullying,hasoc_proxy,latin,unspecified,bush took 3 times as many vacations republican teabaggers are pusseswah,[],Non-Bullying
hasoc_proxy-5770,"@ajbruno14 @JamesOKeefeIII @jdhayworth nope, it's a term used to mock teabagger scum like all three of you. Better luck next time, pal.",HOF,Bullying,hasoc_proxy,latin,unspecified,"nope, it s a term used to mock teabagger scum like all three of you better luck next time, pal",[],Non-Bullying
hasoc_proxy-5270,Yeah okay let's just put a fire cracker in a cow pie and see what happens,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,yeah okay let s just put a fire cracker in a cow pie and see what happens,[],Bullying
hasoc_proxy-434,RT @BlackNerdJade: RT @fivefifths: Hell wrong with yall? RT @TwanTargaryen: Pecan pie AND sweet potato pie trash. http://t.co/hH50P5pytX,HOF,Bullying,hasoc_proxy,latin,unspecified,rt rt hell wrong with yall? rt pecan pie and sweet potato pie trash,[],Non-Bullying
hasoc_proxy-10869,RT @Kevin_McAdams: @WhaleLookyHere tbh I didn't even mean to mock him but #itstoofuckingeasy,HOF,Bullying,hasoc_proxy,latin,unspecified,rt tbh i didn t even mean to mock him but itstoofuckingeasy,[],Non-Bullying
hasoc_proxy-10107,@bnp We are being overrun by mongrels because ZOG or the Jews that run our countries want the white man to perish.,HOF,Bullying,hasoc_proxy,latin,unspecified,we are being overrun by mongrels because zog or the jews that run our countries want the white man to perish,[],Non-Bullying
hasoc_proxy-6051,@RepGutierrez You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.,HOF,Bullying,hasoc_proxy,latin,unspecified,you are full of it! these so called children are not children they are illegal border jumpers ms! gang members,[],Non-Bullying
hasoc_proxy-1128,@RivenbarkYahoo @hale_razor jim Hogg county a dirt poor democrat leaning county.. Hebronville is it's seat. Been there it's a near ghetto,HOF,Bullying,hasoc_proxy,latin,unspecified,jim hogg county a dirt poor democrat leaning county hebronville is it s seat been there it s a near ghetto,[],Non-Bullying
hasoc_proxy-3983,why do little scrawny white boys play ghetto rap music while they walk around.,HOF,Bullying,hasoc_proxy,latin,unspecified,why do little scrawny white boys play ghetto rap music while they walk around,[],Non-Bullying
hasoc_proxy-8728,@HeavensWay_ 2nd and last time I'll ever call you that faggot,HOF,Bullying,hasoc_proxy,latin,unspecified,2nd and last time i ll ever call you that faggot,[],Non-Bullying
hasoc_proxy-2835,"RT @HunneeMolassess: so if her legs dont rub together that means her pwoosy is trash? ...
i just heard this.",HOF,Bullying,hasoc_proxy,latin,unspecified,rt so if her legs dont rub together that means her pwoosy is trash? . i just heard this,[],Non-Bullying
hasoc_proxy-5807,@clangloisss hmu negro,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,hmu negro,[],Bullying
hasoc_proxy-7563,Anyone who came to the US as an indentured servant is white trash.,HOF,Bullying,hasoc_proxy,latin,unspecified,anyone who came to the us as an indentured servant is white trash,[],Non-Bullying
hasoc_proxy-4593,Porch monkey 4 Life,HOF,Bullying,hasoc_proxy,latin,unspecified,porch monkey 4 life,[],Non-Bullying
hasoc_proxy-8722,But this emotional shit is absolutely for the birds.....,HOF,Bullying,hasoc_proxy,latin,unspecified,but this emotional shit is absolutely for the birds,[],Non-Bullying
hasoc_proxy-513,Hats off to all hoodrat chicks from the ghetto who have anxiety attacks at formal events,HOF,Bullying,hasoc_proxy,latin,unspecified,hats off to all hoodrat chicks from the ghetto who have anxiety attacks at formal events,[],Non-Bullying
hasoc_proxy-2712,RT @NavyAssLos: Hunter Hurt Helmsley RT @Rich_GMI: Cut the imaginary height shit. Most of the women tweeting about it sleep alone every nig&#8230;,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,rt hunter hurt helmsley rt cut the imaginary height shit most of the women tweeting about it sleep alone every nig 8230,[],Bullying
hasoc_proxy-2146,@intheKCmix Pau pissed me off like Boozer pissed off Bulls fan... 2 soft faggots,HOF,Bullying,hasoc_proxy,latin,unspecified,pau pissed me off like boozer pissed off bulls fan 2 soft faggots,[],Non-Bullying
hasoc_proxy-667,@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,when hollywood underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,[],Bullying
hasoc_proxy-11782,"@coughlan616 Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite.",HOF,Bullying,hasoc_proxy,latin,unspecified,youre racist against white people whigger antiracist is a codeword for antiwhite antizionist is a codeword for antisemite,[],Non-Bullying
hasoc_proxy-3000,Dream job for a pedophile dressing up like mickey mouse and hugging kids all day,HOF,Bullying,hasoc_proxy,latin,unspecified,dream job for a pedophile dressing up like mickey mouse and hugging kids all day,[],Non-Bullying
hasoc_proxy-6299,&#128557;&#128557;&#128557; RT @tryna_be_famous: Brees been trash since this.... http://t.co/EvYSf5JFkt,HOF,Bullying,hasoc_proxy,latin,unspecified,128557 128557 128557 rt brees been trash since this,[],Non-Bullying
hasoc_proxy-1989,Fizz a whole hoe outchea see would of been walking,HOF,Bullying,hasoc_proxy,latin,unspecified,fizz a whole hoe outchea see would of been walking,[],Non-Bullying
hasoc_proxy-309,"Sometimes, even I gotta tell these hoes to grow up smh",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"sometimes, even i gotta tell these hoes to grow up smh",[],Bullying
hasoc_proxy-405,RT @TimoPleasant: This grown on your own shit is for the birds. &#128530;,HOF,Bullying,hasoc_proxy,latin,unspecified,rt this grown on your own shit is for the birds 128530,[],Non-Bullying
hasoc_proxy-8910,@MSoltan18 @Matt_Simonson @KoredeB9 nvm thought we were talking fifa sorry matt you're not trash at zombies,HOF,Bullying,hasoc_proxy,latin,unspecified,nvm thought we were talking fifa sorry matt you re not trash at zombies,[],Non-Bullying
hasoc_proxy-11678,So much more going on but hypocrisy doesn't sit well with me. My redneck family from central Illinois more black then Bieber!,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,so much more going on but hypocrisy doesn t sit well with me my redneck family from central illinois more black then bieber!,[],Bullying
hasoc_proxy-8833,RT @POONsoaker: Y'all so trash @Cowboys,HOF,Bullying,hasoc_proxy,latin,unspecified,rt y all so trash,[],Non-Bullying
hasoc_proxy-4984,red bone but her pusssy hairlessss,HOF,Bullying,hasoc_proxy,latin,unspecified,red bone but her pusy hairles,[],Non-Bullying
hasoc_proxy-2778,@quilzel That's how rednecks eRecycle. http://t.co/6LRXIqSi8B,HOF,Bullying,hasoc_proxy,latin,unspecified,that s how rednecks erecycle,[],Non-Bullying
hasoc_proxy-6066,Thinking about getting my nips pierced...,HOF,Bullying,hasoc_proxy,latin,unspecified,thinking about getting my nips pierced,[],Non-Bullying
hasoc_proxy-10428,"The @GOP elite call conservatives ""our niggers"" behind closed doors. #tcot #teaparty",HOF,Bullying,hasoc_proxy,latin,unspecified,the elite call conservatives our niggers behind closed doors tcot teaparty,[],Non-Bullying
hasoc_proxy-2038,Will be interesting to watch how Interlagos grips in this weekend. F1 cars basically the guinea pigs for WEC later this month.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,will be interesting to watch how interlagos grips in this weekend f1 cars basically the guinea pigs for wec later this month,[],Bullying
hasoc_proxy-5280,Weekend is here. What an amazing week this has been. Let's use this extended weekend to celebrate our successes my fellow queer folk.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,weekend is here what an amazing week this has been let s use this extended weekend to celebrate our successes my fellow queer folk,[],Bullying
hasoc_proxy-3576,"@iNURSELISA @blackredsoxfan 
It's a nice way of callin y'all honkies",HOF,Bullying,hasoc_proxy,latin,unspecified,it s a nice way of callin y all honkies,[],Non-Bullying
hasoc_proxy-5403,@Rachijuana I popped a Molly every day last year #beat#that#bitch,HOF,Bullying,hasoc_proxy,latin,unspecified,i popped a molly every day last year beatthatbitch,[],Non-Bullying
hasoc_proxy-11358,RT @Woody_AFC: I saw a great chimpout 2 summers ago. A middle aged Salvadoran and his 15 Yr old son got wasted by 6 beaners at the metlife &#8230;,HOF,Bullying,hasoc_proxy,latin,unspecified,rt i saw a great chimpout 2 summers ago a middle aged salvadoran and his 15 yr old son got wasted by 6 beaners at the metlife 8230,[],Non-Bullying
hasoc_proxy-4358,my brothers asshat friends think it's okay to vandalize our property because he's a racist wana be redneck.,HOF,Bullying,hasoc_proxy,latin,unspecified,my brothers asshat friends think it s okay to vandalize our property because he s a racist wana be redneck,[],Non-Bullying
hasoc_proxy-3239,"@SlothNG i can guarantee a few things: you're white. you've never been anywhere NEAR a real ghetto. you, or a relative is a pig. 100%",HOF,Bullying,hasoc_proxy,latin,unspecified,"i can guarantee a few things you re white you ve never been anywhere near a real ghetto you, or a relative is a pig 100",[],Non-Bullying
hasoc_proxy-4618,You state it gook,HOF,Bullying,hasoc_proxy,latin,unspecified,you state it gook,[],Non-Bullying
hasoc_proxy-831,@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.,HOF,Bullying,hasoc_proxy,latin,unspecified,and the only band that sucked worse live is those fags guns amp poses,[],Non-Bullying
hasoc_proxy-9025,how you settin' trends when you're rappin about wearing the same shit everyone else is wearin and rappin about? This mixtape is trash yo,HOF,Bullying,hasoc_proxy,latin,unspecified,how you settin trends when you re rappin about wearing the same shit everyone else is wearin and rappin about? this mixtape is trash yo,[],Non-Bullying
hasoc_proxy-3796,@GwendolynC28 thanks nig&#128540;,HOF,Bullying,hasoc_proxy,latin,unspecified,thanks nig 128540,[],Non-Bullying
hasoc_proxy-6743,"#YesWeDid .......start building #windturbines SO FUCKIN"" BIG they can kill a whole flock of birds in one go&gt;",HOF,Bullying,hasoc_proxy,latin,unspecified,yeswedid .start building windturbines so fuckin big they can kill a whole flock of birds in one go gt,[],Non-Bullying
hasoc_proxy-2735,@GovJayNixon U should just pull out &amp; let #Ferguson fend for themselves. It has been a week. Wasting manpower. Most r just attention hos,HOF,Bullying,hasoc_proxy,latin,unspecified,u should just pull out amp let ferguson fend for themselves it has been a week wasting manpower most r just attention hos,[],Non-Bullying
hasoc_proxy-287,@OTG_Kapo thats what i call it too !! Lol its beyond ghetto smh but man u needa quit playin and come back,HOF,Bullying,hasoc_proxy,latin,unspecified,thats what i call it too !! lol its beyond ghetto smh but man u needa quit playin and come back,[],Non-Bullying
hasoc_proxy-124,"@san_sim lol Avila... It's simple, but I live in a pretty redneck area.. So it never gets pronounced correctly",HOF,Bullying,hasoc_proxy,latin,unspecified,"lol avila it s simple, but i live in a pretty redneck area so it never gets pronounced correctly",[],Non-Bullying
hasoc_proxy-11271,This morning is brought to you by Emergen-C. I really need to nip this cold/flu business in the bud. #NoGermsWanted,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,this morning is brought to you by emergenc i really need to nip this cold flu business in the bud nogermswanted,[],Bullying
hasoc_proxy-10466,Math is forever confusing to me #retard,HOF,Bullying,hasoc_proxy,latin,unspecified,math is forever confusing to me retard,[],Non-Bullying
hasoc_proxy-6825,"lol i liked that album RT @az5950: That ""Double Up"" Album was so trash son...smh",HOF,Bullying,hasoc_proxy,latin,unspecified,lol i liked that album rt that double up album was so trash sonsmh,[],Non-Bullying
hasoc_proxy-8686,If only I dated a girl that lived off Mack Road I could just get the holy trinity of Sacramento ghettos on a daily basis,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,if only i dated a girl that lived off mack road i could just get the holy trinity of sacramento ghettos on a daily basis,[],Bullying
hasoc_proxy-4496,This fuckin bird http://t.co/q2Kjv91KIZ,HOF,Bullying,hasoc_proxy,latin,unspecified,this fuckin bird,[],Non-Bullying
hasoc_proxy-11809,"RT @AnthonyBialy: Well, Maryland is just a bunch of hateful rednecks, anyway.",HOF,Bullying,hasoc_proxy,latin,unspecified,"rt well, maryland is just a bunch of hateful rednecks, anyway",[],Non-Bullying
hasoc_proxy-11021,RT @Anastacia_Cole: I like being Asian and all but it's a struggle having squinty eyes in every picture,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,rt i like being asian and all but it s a struggle having squinty eyes in every picture,[],Bullying
hasoc_proxy-2871,They use to call my mom Japs when she was younger. Lol Asian racial slurs.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,they use to call my mom japs when she was younger lol asian racial slurs,[],Bullying
hasoc_proxy-858,@JaredReve use monkey maker you prick!,HOF,Bullying,hasoc_proxy,latin,unspecified,use monkey maker you prick!,[],Non-Bullying
hasoc_proxy-11584,@steveeearley @TheChaseUSA @MarkLabbett That cracker as big as he looks on TV?,HOF,Bullying,hasoc_proxy,latin,unspecified,that cracker as big as he looks on tv?,[],Non-Bullying
hasoc_proxy-6292,"RT @DragonflyJonez: Tell Bubba in Alabama youre African and not black and he's gonna call you a nigger with an EXTRA hard ""ER"".",HOF,Bullying,hasoc_proxy,latin,unspecified,rt tell bubba in alabama youre african and not black and he s gonna call you a nigger with an extra hard er .,[],Non-Bullying
hasoc_proxy-4053,These peanut butter brownies bout to give me life too! &#128523;,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,these peanut butter brownies bout to give me life too! 128523,[],Bullying
hasoc_proxy-9740,"LOL &#128514;&#128557; I just remember that same bitch said she liked my hair then asked ""is it yours?"" Smfh #wut #yes ...",HOF,Bullying,hasoc_proxy,latin,unspecified,lol 128514 128557 i just remember that same bitch said she liked my hair then asked is it yours? smfh wut yes .,[],Non-Bullying
hasoc_proxy-1412,"I would bitch about the weather being bipolar, but I'm just gonna appreciate how nice it is instead",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"i would bitch about the weather being bipolar, but i m just gonna appreciate how nice it is instead",[],Bullying
hasoc_proxy-5724,"Watching Richie Rich! On Tv..Even he wanted to kick it with the ghetto kids..

Shows yuh how much Money Aint A Thang!...",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,watching richie rich! on tveven he wanted to kick it with the ghetto kids shows yuh how much money aint a thang!.,[],Bullying
hasoc_proxy-11174,DRUGS&gt; Is why #Giants are losing. Just ask #barrybonds and the HEDGE BET FUND&gt; #WorldSeriesGame6 #faggots,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,drugs gt is why giants are losing just ask barrybonds and the hedge bet fund gt worldseriesgame6 faggots,[],Bullying
hasoc_proxy-5938,"RT @McNarstle: Yes, the bird tweets in the morning are lovely but remember, what you're hearing is: BIRD COCK HERE! GET SOME ROCK HARD BIRD&#8230;",HOF,Bullying,hasoc_proxy,latin,unspecified,"rt yes, the bird tweets in the morning are lovely but remember, what you re hearing is bird cock here! get some rock hard bird 8230",[],Non-Bullying
hasoc_proxy-1654,@MrNwachukwu naw them boys trash we started coasting,HOF,Bullying,hasoc_proxy,latin,unspecified,naw them boys trash we started coasting,[],Non-Bullying
hasoc_proxy-93,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,like i said i might have to check but i m just not sure bird shot counts as getting shot,[],Bullying
hasoc_proxy-11461,@justinbieber nice wigger stache,HOF,Bullying,hasoc_proxy,latin,unspecified,nice wigger stache,[],Non-Bullying
hasoc_proxy-3063,Everyone Needs To Stop Bitchin about Jeter... Youre witnessing the last week of baseball from the greatest player to wear a Yankees uniform,HOF,Bullying,hasoc_proxy,latin,unspecified,everyone needs to stop bitchin about jeter youre witnessing the last week of baseball from the greatest player to wear a yankees uniform,[],Non-Bullying
hasoc_proxy-3963,Just hand them the game you zebra jack asses and save us all the trouble of watching,HOF,Bullying,hasoc_proxy,latin,unspecified,just hand them the game you zebra jack asses and save us all the trouble of watching,[],Non-Bullying
hasoc_proxy-9459,Porch monkey 4 life #Randell,HOF,Bullying,hasoc_proxy,latin,unspecified,porch monkey 4 life randell,[],Non-Bullying
hasoc_proxy-2455,"RT @Fact: A female ""cock block"" is called a ""clam jam.""",HOF,Bullying,hasoc_proxy,latin,unspecified,rt a female cock block is called a clam jam,[],Non-Bullying
hasoc_proxy-6593,@SamFeistCNN @CNNPolitics your opinion plz. When election over will there be any improvement or will BO still be allowed to trash America?,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,your opinion plz when election over will there be any improvement or will bo still be allowed to trash america?,[],Bullying
hasoc_proxy-10046,RT @BroganWebber: Beyonc&#233; is trash.,HOF,Bullying,hasoc_proxy,latin,unspecified,rt beyonc 233 is trash,[],Non-Bullying
hasoc_proxy-5327,RT @Goons_TXT: Only retards and dads roll Lawful Good.,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,rt only retards and dads roll lawful good,[],Bullying
hasoc_proxy-2390,timbs straight trash though,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,timbs straight trash though,[],Bullying
hasoc_proxy-10529,&#8220;@TrapFuhrer: When her nudes trash you gotta draw clothes back on her and send em back http://t.co/jX7Mc32BkV&#8221;&#128128;&#128128;&#128128;&#128128;&#128128;,HOF,Bullying,hasoc_proxy,latin,unspecified,8220 when her nudes trash you gotta draw clothes back on her and send em back,[],Non-Bullying
hasoc_proxy-6730,RT @FunkyDineva: I have not watched part 2 of the reunion. I'm so over them hoes. I don't even care,HOF,Bullying,hasoc_proxy,latin,unspecified,rt i have not watched part 2 of the reunion i m so over them hoes i don t even care,[],Non-Bullying
hasoc_proxy-6480,RT @HoskinsTy96: @Vontey_isa_boss &#128514;&#128514;&#128514; ghetto ass mofos,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,rt 128514 128514 128514 ghetto ass mofos,[],Bullying
hasoc_proxy-5400,im weeaboo trash,HOF,Bullying,hasoc_proxy,latin,unspecified,im weeaboo trash,[],Non-Bullying
hasoc_proxy-8679,"RT @femaIes: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 for a ba&#8230;",HOF,Bullying,hasoc_proxy,latin,unspecified,rt a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be [ABUSIVE] if u pay 499 for a ba 8230,['stupid'],Non-Bullying
hasoc_proxy-3717,RT @SouthsideVic: Keebler elves gone have to make weed brownies when it's legalized. In da tree trunk but da trap going crazy. Bro that shi&#8230;,HOF,Bullying,hasoc_proxy,latin,unspecified,rt keebler elves gone have to make weed brownies when it s legalized in da tree trunk but da trap going crazy bro that shi 8230,[],Non-Bullying
hasoc_proxy-8656,"@lundenm my dad wanted me to ""twat"" him. &#128563;",HOF,Bullying,hasoc_proxy,latin,unspecified,my dad wanted me to twat him 128563,[],Non-Bullying
hasoc_proxy-1869,Me gusta pollo so espa&#241;ol that. Lol. &#127831;,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,me gusta pollo so espa 241 ol that lol 127831,[],Bullying
hasoc_proxy-8895,"It's scheduled up already, tho #bitches&gt; #BryanCranston&gt; One tweet and he's got #JoePesci out there making fun of #stolenbases&gt; #BASEBALL",HOF,Bullying,hasoc_proxy,latin,unspecified,"it s scheduled up already, tho bitches gt bryancranston gt one tweet and he s got joepesci out there making fun of stolenbases gt baseball",[],Non-Bullying
hasoc_proxy-5861,Roy Hibbert so trash. It's unbelievable.,HOF,Bullying,hasoc_proxy,latin,unspecified,roy hibbert so trash it s unbelievable,[],Non-Bullying
hasoc_proxy-10935,@WendyGAv says the pedophile promoting dolt. LMAO #teabagger,HOF,Bullying,hasoc_proxy,latin,unspecified,says the pedophile promoting dolt lmao teabagger,[],Non-Bullying
hasoc_proxy-330,UPDATE: Three arrsted after German gay guy left in critical condition after being fag bashed in Belgrade http://t.co/5TNwQ2e7Q5,HOF,Bullying,hasoc_proxy,latin,unspecified,update three arrsted after german gay guy left in critical condition after being fag bashed in belgrade,[],Non-Bullying
hasoc_proxy-1764,@ACMobbDeep @madsbennett yeah I run over squirrels and coons,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,yeah i run over squirrels and coons,[],Bullying
hasoc_proxy-5796,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin,HOF,Bullying,hasoc_proxy,latin,unspecified,8220 you aint special niglet rt when i m chilling wit greg ppl walk up to me to ask me to take pics 8221 hatin,[],Non-Bullying
hasoc_proxy-949,"RT @RonTheAnchorman: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 &#8230;",HOF,Bullying,hasoc_proxy,latin,unspecified,rt a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be [ABUSIVE] if u pay 499 8230,['stupid'],Non-Bullying
hasoc_proxy-10242,"When people really think I'm Asian I get offended,
Even though I make fun of my gook self",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"when people really think i m asian i get offended, even though i make fun of my gook self",[],Bullying
hasoc_proxy-8870,lmaooooo RT @SirAsshole: when you sit in a ghetto girls seat at lunch https://t.co/HaSLMb1Dzj,HOF,Bullying,hasoc_proxy,latin,unspecified,lmao rt when you sit in a ghetto girls seat at lunch,[],Non-Bullying
hasoc_proxy-919,"RT @Yankees: Congratulations Ichiro! That leadoff base hit in the 8th is hit No. 2,800 in his @MLB career!",NOT,Non-Bullying,hasoc_proxy,latin,unspecified,"rt congratulations ichiro! that leadoff base hit in the 8th is hit no 2,800 in his career!",[],Bullying
hasoc_proxy-4200,U coons can't wait to wear them Oreo J's,HOF,Bullying,hasoc_proxy,latin,unspecified,u coons can t wait to wear them oreo j s,[],Non-Bullying
hasoc_proxy-3341,Fake tits? &#8220;@VelvetHoopD: A hoe??&#8220;@Steph_Badd: Can u guess what I was ? &#8220;@DJZeeti: Twitpic your halloween costumes&#8221; http://t.co/ECs7nlEkKa&#8221;&#8221;,NOT,Non-Bullying,hasoc_proxy,latin,unspecified,fake tits? 8220 a hoe?? 8220 can u guess what i was ? 8220 twitpic your halloween costumes 8221,[],Bullying
hasoc_proxy-2089,RT @VaTxn: Illegal alien is not a race. It's a crime. @MuchoMacho @McDonalds @jeandeaux1776 @cspanwj #wetbacks http://t.co/pf2YpelyOP,HOF,Bullying,hasoc_proxy,latin,unspecified,rt illegal alien is not a race it s a crime wetbacks,[],Non-Bullying
