text,task_1
Deez niggas pussy so fuck em deez niggas ass so buss em,HOF
@TheRealaaw &#128514;&#128514;&#128514;&#128514; pot of gold ass nigguh,HOF
@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!,HOF
If a bitch don't taste her own &#128573; you shouldn't even dare eat it &#128567;,HOF
Lmao RT @MoeMartin44 The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds,NOT
"RT @1TRIKOfficial: @ItsNotAdam No prob! Def a good early set energy tool! If you want to tune in, http://t.co/hxfJWy3Jab in less than an ho&#8230;",NOT
@kieffer_jason How u going to talk shit from another state that's dat pussy shit,HOF
"Neverrr, play me for stupid because I'm far from it.. You bitches might be stupid. But not me &#128581;",HOF
RT @3amado_carrillo: Just checked my watch n that bitch said sometimes,HOF
"RT @StLNetworkGuru: Write in Christine LaPorta for #MOSen #Ferguson She represents all

ChappelleNadal refer to whites as crackers &amp; KKK ht&#8230;",HOF
"RT @__E_T___: Brown colored eyes are really blue, under a layer of melanin.",NOT
RT @Kiaranicole_x: @_JoAries @Kash_WingateLFC @chanchan_ox babes we buy brazilian and Peruvian not Bengali,NOT
Bitches be having a nigga but want to be another nigga WCW bitch it don't work like that,HOF
Down to catch a body bitch!,HOF
And my bitch gon' blast and she got the ass like... http://t.co/yzJVcu77nF,HOF
RT @_tonktrippin: if you can't do or say certain shit in front of yo bitch then don't do it,HOF
RT @hoez4sale: Lmao they all trash before &amp; after &#128530;&#128557;,NOT
RT @jeffgallardo9: &#8220;@Sonali1123: Guys with colored eyes &#128525;&#8221; http://t.co/hwiPlPuxpQ,NOT
RT @TrucksHorsesDog: Coincky~dink http://t.co/53bnMFYQZA,NOT
"""If you talk back to me you ain't getting no pussy.""
Me: http://t.co/vgnwcFgvSJ",HOF
I def got a few shades darker cutting my mama grass. There goes my yellow frame lol,NOT
"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it",NOT
RT @Buckm00se: kill this beaner,HOF
"You mad cuz I was in the van with yo bitch
With both hands on her tits",HOF
#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.,NOT
I'm getting sleepy and my phone is acting retarded...,NOT
Charlie Jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head.,NOT
RT @saucygyro: @_WhitePonyJr_ ugly bitch has blood on her hands for her whore ways,HOF
@ScootieMcB bitches need guidance. Lol,HOF
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",HOF
all these hoes so familiar &#128564;&#128564; #JuiceTweet,HOF
U wanted to go in the military but yo bitch ass couldn't handle nobody shooting at u so shut yo mf mouth and #salute those who did,HOF
All my so whitey bois gone ride,NOT
I was informed about a bird (pheonix) today that I could not find a physical image of.All paintings.Mythological or extinct?,NOT
"RT @tf_i_looklike: Bae: If I win you don't get no pussy tonight 

Me: Shiiiiiit... &#128514;&#128514; http://t.co/yUJJDMtDC4",HOF
"RT @TheAsaCrawford: You shoulda learned how to bake, cuz bitches love cake",HOF
"RT @Yankees: VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.",NOT
Say I'm wrong but I can treat that pussy right,HOF
"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?""",HOF
RT @Dalilaaaaaa__: Flappy birds cheat codes http://t.co/nu6GjYQDJJ,NOT
@dequaan_ @Khid_Zay &#128514;&#128514;fucc the extra shit I'm seeing that hoe THIS WEEKEND,HOF
"@LandRoverUSA Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions!",NOT
but I didnt get a write up thank god lol dumb white bitch,HOF
RT @SheScreams_Mami: These hoes ain't loyal&#128581;&#128175;&#128076;,HOF
Or she just cant afford winter clothes RT @da_1eye_creep Summer hoe = winter Muslimah,NOT
RT @kpips_forever: Nobody want no pussy 25 other niggas done had before,HOF
@Nien_Nunb what did you search? Gay redneck episode 1 play?,HOF
@BlakeAnderson21 @jo_clark6 chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after,NOT
RT @amara_banks: I want some taco truck tacos! Brenda &amp; her mom be having them bitches smacking.,HOF
I named my dick the truth Cuz bitches can't handle it lmao,HOF
"I still hate the bitches at the #dmv #californiadmv, miserable hoes",HOF
RT @foodbibIe: Oreo Cheesecake http://t.co/yW299XjzB2,NOT
Do you know where I grew up Skippy? @mouzone_brother @psherm07 @EchoesErrant @gigg423 @jstines3,NOT
I thought she was albino tho &#128563;,NOT
"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",NOT
"I ordered 8 chocolate chip cookies &amp; this bitch gave me fries smh , I couldn't even take the shit back because I was gon be late for work",HOF
"RT @itsDC_2x: ""Just texted my phone, this bitch just blew my high!""",HOF
Stop being a hoe,HOF
@vhr6190 @NudesForJordy playoffs bitch,HOF
@mabathoana garbage rappers can't learn. it's like teaching Advanced Algebra to a retard.,HOF
@BigD757 too bad hes a faggot,HOF
Photo: anarcho-queer: &#8220;Anarchism stands for a social order based on the free grouping of individuals for... http://t.co/Iy6Gro4t8Z,NOT
"RT @Gawker: Congressman's office admits ""Hell yeah Benihana up in this bitch"" tweet was a mistake. http://t.co/LTzwuJC0Vs",HOF
"Fucked your bitch, just met her &#128527;",HOF
"@politicsofamy Whoa easy Amy, don't slag the Canucks too much with such a generalization",NOT
Bae made me deep fried Oreos &#128523;,HOF
RT @Based_Unicorns: Fat bitch act like she couldn't follow back. I've always wanted a fat bitch to follow me.,HOF
"@iLikeGirlsDaily ""rate my hoe"" @MakeItKNasty",HOF
"McCann, although not having the greatest of seasons, would be a step up from Russel Martin. McCann or Carlos Ruiz #MLB #Yankees",NOT
"@grinand BTW, Happy Birthday, Charlie! Get better soon!",NOT
RT @young_thrill3r: These hoes ain't loyal,HOF
"@intrepidokie nice lie #teabagger. Just because you want to see it doesn't make it real. Like Reagan was a conservative, another huge lie",NOT
RT @CHlLDHOODRUINER: iphone 6 is trash watch me glo up http://t.co/XYwPaslCoB,NOT
RT @flemingryan5: @SavannaaSanford hoe,HOF
Smuggled letter by Gaza tunnel digger details suffering under Hamas rule http://t.co/jusiee1yhK via @TheMuslimIssue,NOT
"RT @MonroeDOLL_: Who got time to be ""having dem hoes""!? That's aint wassup no more",HOF
RT @Mmadifresh: Still wishin all of my old hoes the best,HOF
This one for dem hipster bitches that shop at value village,HOF
RT @rarebreedkena: shoutout to @OGMaco bitch you guessed it remix shit is &#128293;&#128293;&#128293;,HOF
@nick_scott25 sounds about right to many dumb bitches work there welcome to my life,HOF
RT @Cspen335: Right you are! Have you heard of the 'dodo' bird? He's the one with Obama on his ass! http://t.co/0qHypwxzYh,HOF
Done for the Yankees,NOT
"To be clear, I don't think there's any chance Krug leaves for Russia. But it's fun to mock the speculation.",NOT
"i got some retarded ass friends, but i love em tho they make my life nicer.",HOF
hoes thinkin 2014 turns them into born again virgins.,HOF
"RT ""@DestineyDunbar: This shit for the birds . &#128530;&#8221;",HOF
"RT @MayaAngelouFRO: Ready to slay these bitches and im not even half way thew my soak
http://t.co/uKCdyM7kbx",HOF
"Thanks Charlie, have a great evening @Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74",NOT
Happy birthday bird! @codyflitcraft,NOT
@tiffantasticc your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva,HOF
Can I have a bad bitch without no flawwssss,HOF
Early morning beer as a reward for waking up and taking the trash out,NOT
@Sarakateee @FaZe_Rain I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly trailer trash... #fazeisgay,HOF
@basedgvbe trash,NOT
Game 128 Preview: Houston #Astros at New York #Yankees http://t.co/ughVRRdirz,NOT
"@Misplaced_Momma 
She be what we say in da hood white trash",HOF
RT @FunnyPicsDepot: White trash warfare pt 3 https://t.co/zboIyjnfl9 &#128514;&#128514;&#128514;,HOF
"Montana, Wisconsin, Maine, New Hampshire, North AND South Dakota, Wyoming. All places you can move an ex-hoe to and be happy.",HOF
"why tf is this bitch in my class wearing all brewers shit it's football season,,,,",HOF
RT @jay_gee24: Damn it wigga &#128514;&#128514;&#128514;&#128514;,HOF
These bitches is crazy,HOF
@Dre_Day200 nig nog,HOF
"@maccabeez no one knows the words to that song, they only know the sexy saxophone. George Michael is a pussy.",HOF
@SchoolBoyG_ why you gotta phone in your avi texting but you got negative bitches?,HOF
RT @rasheed_wavy: @vivalakristia he bein a bitch,HOF
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",NOT
"@haylgroot ......bitch &#128530; yeah it was me.. Caught me red handed, sorry @jennholly",HOF
"RT @SportsCenter: BREAKING: Japanese ace Masahiro Tanaka will sign with the Yankees for seven years, $155 million. (via Fox Sports)",NOT
"RT @chanelpuke: me: goodnight moon 

moon: goodnight lil bitch",HOF
Brown is a color so my eyes are colored,NOT
RT @IcySoleOnline: Should of been a cork sole RT @Johnny_Blaz3: why is there no cork on the WTL XI?,NOT
I couldn't press send. That tweet about anchor babies was even too raw for me.,NOT
RT @LiberalPhenom: Who on GZ's defense team is paying media to trash the prosecution constantly? @ThomasARoberts,NOT
@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao,HOF
"fuck ray rice ,someone crack that bitch",HOF
@grrizzIy @YUNGxSMBA the only place for a ho in the garden,HOF
"Awe did I cut you off and make you mad? That's too dam bad, shoulda been going the fucking speed limit bitch",HOF
You're all just crows on the power lines.,NOT
You pussy if you lie for pussy &#128175;&#128175;,HOF
Fuck around &amp; take them hoes back,HOF
"Bust a nicca head,smack a ho,shoot the club up! &#128514; &#128266;&#128266;&#128131;&#128131;&#128131;",HOF
Jihadis seem to be more upset over the location of the Jedah conference in #Saudi than its purpose #ISIS,NOT
RT @Now_Thats_Fresh: Every Seth McFarlene cartoon is trash yall love low iq comedy,NOT
I'm about to post my Charlie Clips vs Yung ill rap battle review in a few,NOT
"Daniel, there's no cow tipping and hoe downs in Jackson... This city living lol",NOT
if i were to die and be resurrected as an animal id be a howler monkey,NOT
"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",HOF
Which expendable player can we put in with the sole objective of breaking Beverley's jaw?,NOT
Wish i had a bad bitch tonight where they at?,HOF
"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",NOT
&#8220;@Xenoss_: ''single af'' we don't care you're ugly anyways&#8221; @ me pussy,HOF
@TheSeanyV would help for some others can't handle uppers and cripples them plus if moderation isn't taken into consideration it'll be bad,NOT
@gezus__ @Buckm00se lol this faggot hid from the moon boss we i was helping him,HOF
"RT @DogeTheDog: Wow
 Such banana
 So potassium 
 Much yellow http://t.co/xINHDwyTqS",NOT
"&#8220;@CharlieDayQuote: Viet-goddamn-nam, that's what happened! Go get me a beer, bitch!&#8221; @John_Colman",HOF
"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",HOF
"4&#8419;2&#8419;0&#8419;

moke up",NOT
Some Douche cubs redneck cubs fan freaked out asking if bites..... No you bloody BERK!!! He's like the&#8230; http://t.co/ulc6CMVtki,NOT
"Good morning, you hoe ass niggas. *Pimp C voice*",HOF
"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol",HOF
I hate texting boring bitches,HOF
Creeping Death still stuck in my head bitch,HOF
RT @PresidentRJRock: Fuck you bitch I'm actin brand new &#128526;,HOF
@RobDa64 thanks!!! Now go clean that trash can ya lil nasty! Lol,NOT
"Study by Center for Biological Diversity called (taxpayer funded) Ivanpah a &#8220;mega-trap&#8221;-will kill 28,000 birds year. http://t.co/xPXEhne29E",NOT
""" hoe what its hitting for """,HOF
@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair,HOF
RT @ClicquotSuave: drop that pussy bitchhhhhhh,HOF
RT @fabulousanimals: A monkey with a mustache by Thomas Kienzle http://t.co/J5PA2BoU23,NOT
@keno_ Isn't there a law that all clam chowder must be served im bread bowls? Haha,NOT
"If the crust ain&#8217;t graham cracker, keep that pie",NOT
LMFAOOOOO BYE &#8220;@DatGuyBren: American sports trash. Soccer and Hockey the best sports.&#8221;,NOT
"@feverspell @NYRKelsMads I'll do it! @1dgroupiegossip In the UK, ""Fag"" means cigarette and a ""faggot"" is a bundle of sticks, you homo.",HOF
We don't play &#127936; bitch there's no take backs,HOF
RT @LHT_519: when ya side hoe playing too much &amp; all you want is head /// https://t.co/7eALhuTA02,HOF
Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix&#128553;&#128553;&#128514;&#128514; I&#8230; http://t.co/o5v2E4LFtm,NOT
RT @BryanHoch: Just 113 days until Yankees pitchers and catchers report.,NOT
I swear to god some hoes look like they take the same exact picture everytime. Change it up for once godamn. #ratchet,HOF
RT @downswinging: brendon urie must make other boys feel like trash,NOT
Oriental rugs cause I'm flyer than a dove.,NOT
Diabetes galore &#128514;&#128514;&#128514;&#128514;&#128514; RT @TIME: Colorado health officials recommend pot brownie ban http://t.co/Z59oy20TMp,NOT
Weird ass bitches,HOF
"@salomanizor I'm a faggot :/

http://t.co/Gr627ldfaa",HOF
"French word for potato translates as ""earth apple."" Banana is ""long yellow tree apple."" Submarines are ""big wet hollow kaboom apple.""",NOT
Oreo milkshakes will forever remind me of @jay_ibarra95,NOT
"Dear God, forgive us for a moral slope of values. Shacking is just a pretty word for perpetual fornication. Let's... http://t.co/h0URrTNDfZ",NOT
@The_Gambit Ha. He ain't welcome in Washington State or Nashville. Serpas is straight trash.,NOT
Morning trash http://t.co/xba6WWVO7m,NOT
@zlarge20 bro once I'm there next year I'll make you look like straight trash so enjoy it the little time you have left,HOF
@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?,NOT
Ain't been on this hoe all day haha #FWM,HOF
RT @JAYREIDOFFICIAL: Jus know ...S/O to my nicca @im_yung_jay #BKent #MME1636 http://t.co/3XInzjnm2u,HOF
Up early then a bitch driving to denton omg can I move already,NOT
"#TweetLikeYourBestfriend ""I made out with 3 bitches!"" @lilkrebs",HOF
Met a woman who was trying to feed a crow a Brazil nut,NOT
I need a bitch,HOF
Jihadis taunting America &amp; spreading paranoia: tents that appeared in a video of a Daesh training camp near Mosul. http://t.co/GH3EbBfB3t,NOT
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,HOF
"trash night tonight. I can already hear the sound of America's thriving economic sector out on the street, four wheels, one of them wobbles.",NOT
RT @DopeChubbyChick: You was so eager to be a hoe you didn't even read RT @JennnVeee: &#8220;@DJZeeti: twitpic a selfie wearing a leotard&#8221; http:/&#8230;,HOF
@xDSmooth hell naw bitch no help!,HOF
@corrinybug YASSS bitch YASSS! I wonder if penny passed &#128514;,HOF
NEVERMIND I FOUND THEM. ...in the trash...,NOT
@Willbur64 @WolzgotBolz fight me bitch.,HOF
"RT @_pascuzzo: ""@Salon: Meanwhile in Texas: 19-year-old man facing 5 years to life in prison for $25 worth of pot brownies http://t.co/438F&#8230;",NOT
RT @gojackets973: @WesDurham its the start of another yellow jacket season tonight!!! How about a RT for ALL the Jacket Fans!!! #GTVT1 ...,NOT
@caraabastow That's a cute and fuzzy one...hehehe ;),NOT
A-Rod said the number #13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the #Yankees,NOT
"hollywood, if you really want to break my heart make a movie about a handsome retarded man who is good at flash and has a mean girlfriend.",HOF
"RT @shakiraevanss: Criticize Amanda for saying the n word, sure, but don't make jokes about her sexual assault, don't be trash.",NOT
RT @FunnyPicsDepot: rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe http://t.co/AMJyeK77QA,HOF
I don&#8217;t talk trash regarding sports.,NOT
Dumpster RT @baskgod: Gahbage RT @_sirhampton_: Chicks that smoke are trash. No in between. No debate.,NOT
@heyrmbr probs that fag Vhia,HOF
RT @TeamGladney: Did the Yankees make the playoffs and properly honor Jeter? RT @80sbaby4life: Orioles win?,NOT
Rudy Throws Fastballs Near Charlie&#8217;s Chin..(No Sweat) Crist Ducking Giuliani Campaign Politics In Florida! DoG http://t.co/EJpdwlS5qj&#8217;s-chin,NOT
"@PenguinGraham Yup, he did, like a straight bitch",HOF
@DamoneTheDon bitch I got some bloods dat hang in la,HOF
RT @alex05241: Hannah is retarded don't listen to her.,HOF
@22duces20 haha still a little bitch though &#128517;,HOF
directions: let bird chill in sink for 30 minutesme: ok http://t.co/TxU9NMwQha,NOT
"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear",HOF
This no beef thing is for the birds!!!,NOT
"When people really think I'm Asian I get offended,
Even though I make fun of my gook self",NOT
And my mom was really getting me a car smh hoe f u for dat,HOF
"@SophieRo3 if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live.",HOF
"@HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels",NOT
"Hey. @BarackObama. Don't be like a stupid white bitch in some horror movie asks #America to hide from #ISIS behind some chainsaws. M,kay?",HOF
@YamanakaValerio bitch it's not til Thursday,HOF
Otters would make cool pets if they weren't such cunts.,HOF
RT @ImHis_Treasure: For the last few weeks my name been cripple &#128555;&#9855;&#65039;,NOT
U coons watching love and hip hop ain't you,HOF
@justinbieber have fun getting deported you fucking faggot,HOF
@Bitcheslovestar The only one of Mary's friends I like so you other bitches don't exist &#128514;&#128514;&#128564;&#128564;&#128564;&#128564;&#128164;&#9995;&#9996;&#65039;,HOF
"RT @SportsNation: So, Yanks have signed Brian McCann &amp; Jacoby Ellsbury. Rumor has it, they still want Robinson Cano, Babe Ruth, Miguel Cabr&#8230;",NOT
I don't know what you been told but I love them project hoes,NOT
Want to touch tha boootyyyyy....neeeeed to touch the heinie &#127825;,NOT
This reminds me of another quality video lol. He ain't fittin to front for these peckerwoods! http://t.co/AYpwHr0J62,NOT
Arguing over a bitch with a glued on butt,HOF
they're not playing Charlie Strong's soft don't run up the score mentality. They're playing this guy. http://t.co/sqEdBgU34k,NOT
Not a word on Jihadi stream about the Kurdish female suicide bomber in Kobane. That story undermines their mythology on several levels.,NOT
The English killed all the leprechauns. Thank God. Annoying little bastards.,HOF
"RT @MELODICthunder: Nah, 2013 was trash RT @IshaboiBrandon: 2014 was so trash dawg",NOT
A teen was running around Target in monkey pjs screaming OO OO AH AH &amp; the fitting room girls were cackling. Was today designed to annoy me?,NOT
RT @NorrisDaGod: I have no hoes &#128581;,HOF
"give her dope dick now she a fuckin addict hoe, u a fool if u thought a nigga neva had it yo",HOF
12 oz arizona's trash,NOT
Foles vs 9ers in San Fran or Eli vs redskins in DC,NOT
OMG This bitch on the Tico wont STFU ALREADy!!!!,HOF
"@kvngkendric_ fight . Expose hoes , do some super gay shit , anything negative , since that's how society works.",HOF
RT @robdelaney: Girl I wanna rip my dick off and throw it at your pussy.,HOF
"This fat bitch got all huffy cause she took too long to make her turn, so I took it, so she mouthed off to me&#128514;&#128075;&#128075; #girlbye&#128129;",HOF
"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bitch looks like. Lets start with ape shit&#8221;&#128557;&#128557;""",HOF
"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver",HOF
