text,task_1
RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr,HOF
What mad cunt created masturbating? That dude needs a high 5...,HOF
These hoes worried bout the wrong things in life,HOF
FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.,NOT
RT @nateturnboy: You left prom camping first day cause you're a bitch boy.,HOF
@CallNeeshCakey I can't bitch,HOF
Maybe I shoulda informed my cousin of my social anxiety before taking me to this over crowded bar. On the bright side Texas has hott bitches,HOF
Nobody on planet Earth more protective than bull dykes,HOF
"RT @TheVibeKing: I didn't go wrong when I started talking to you, I went wrong when I trusted your bitch ass",HOF
@kieffer_jason I heard your mama raised you like bitch,HOF
God damn birds,HOF
@alexrojas_10 yo fag Rojas,HOF
RT @CanIFuckOrNah: i'm a bitch but a sweetheart u feel me,HOF
I just want the bad hoes and I wanna reach the children,HOF
Nigga you is a fool &#128553; &#8220;@BOSSMANRAN: I feel like eatin nd beatin a pussy up &#128553;&#8221;,HOF
@tyracountryman nah gurl this pussy private &#128581;,HOF
I hate ratchet country hoes I'm ashamed,HOF
"@The_Red_Sea @shetheTRUTHtho bitch, yo muthafukin ass reacting off that vain females' tweet &amp; dont no the context, her dumb ass dont neither",HOF
@jonnnycashh #pussy,HOF
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,HOF
RT @_elennamichelle: @erykahminor_ miss ya too nigger &#128539;&#128536;&#128536;&#128536;&#128536;&#128525;,HOF
That hoe beefing over tunchi chillllll ouutttt,HOF
Bout to put me some hoes on backpage .. Try my pimp hand out! &#128526;&#128075;&#128162;,HOF
I just wanna slap a couple of y'all bitches,HOF
"RT @TheOnlyReed: Sooner or later ya pussy gon tell
Me the truth, let's hope it's not while I'm in it, cause Ima kill u",HOF
The fuck does a yellow cloud do?,HOF
@iSkypeYourMomz @TrapGod3sss And I really be thuggin wtf I look like hanging around some lil chipotle Jamba Juice ass bitches&#8221; like &#128686;&#128686; &#128557;&#128514;&#128557;&#128514;,HOF
In-N-Out is like the sunshine and blue sky. The song of a bird. A smile at the front porch. The perfume of the ocean on wind-kissed cheeks.,NOT
Life is a bitch.... but I appreciate her mayne.,HOF
"@san_sim lol Avila... It's simple, but I live in a pretty redneck area.. So it never gets pronounced correctly",HOF
@thejokerxo porn stars are 100% acceptable bro. Im was talking about these air mattress hoes....lol,HOF
"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",NOT
"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament",NOT
"Notice I didn't tweet ""bytches"".... Bytch is different from bitch.... My logic... And it WERKS...",HOF
"@The__Sweetest no shit you are, what euros would call a typical American, fat as fuck and goes to eat fast food all the time, dumb bitch.",HOF
Only the strong survive and that nigga a pussy,HOF
@thisisricklol sexy bitch,HOF
RT @The_Paradox: FAGGOT RT @80sbaby4life: I was in the club and there was this good lookin bitch. ..she had gold teeth tho. I was confused &#8230;,HOF
Wish I coulda said more to @EmmaleeeParkerr tonight. Good seeing you fag. &#128540;,HOF
I got these 5 dominican hoes that randomly hit me up every so often &amp; can't tell if they like me or tryna rob me.,HOF
@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun,NOT
"RT @NandaGorgeous: RT if you like 
BMTH
ADTR
PTV
YMAS
SWS
ATL
OM&amp;M
AA
MIW
BTF
WCAR
MCR
AFI
PE
BVB
WIM
BC
SS
CTE
NSN
GD
WATIC
AA!
BFMV
FOB
F&#8230;",NOT
"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa.",HOF
Alcohol....drunk hoe &#171;@Mr__Rude i miss...&#187;,HOF
"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",HOF
"me: *complains about suburban white girls*
suburban white girl: you're a bitch
me: ok u literally just proved my point",HOF
"RT @TheDouch3: Bitches tweeting ""relationship goals"" w/no man, job, or real desire to stop being a hoe or partying every weekend. Jus a iPh&#8230;",HOF
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,HOF
Paper over pussy cause pussy Bring problems #PoweroftheP,HOF
RT @ThatSlutAdrian: i'll be that bitch today,HOF
I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.,HOF
&#8220;@SexReIationship: Who else thinks lip biting is fucking sexy?&#8221;@MaiaPapayyya_ until that bitch bite too hard put a hoe out once for that,HOF
I remember when Milz drunk ass fell asleep while we where all playing Gears smh. What a fag,HOF
RT @maNIJEEtwa_: Jackie weird .. like bitch hang with ppl ya age&#128514;,HOF
RT @dirtyskimask: Lmaooo Friday After Next? &#8220;@1stName_Bravo: You like that yo son's a fag?&#8221;,HOF
@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,HOF
no lie tho i'm weak for a pretty bitch. have me doing all type of shit that ain't really me.,HOF
All I want is a 100 million dollars and a bad bitch,HOF
Milk Marie she got pretty pussy call it pink cause a nigga fell in love with it.,HOF
Nah. ITS OVER&gt; People don't tell #artists what do to. That's defies the definition of what WE ARE TRYING TO SHOW #youpeople. #retards #game7,NOT
@JuiciStrawberry Kik is for hoes.You either gone shit or get off the pot.,HOF
@FlightYung that's what I call a crash dummy hoe,HOF
RT @_prettygirl92: bitches jus love to get me madd,HOF
It's gonna be a long season for the Yankees if this simulation is right #BlueJays #Rays #Yankees #Orioles&#8230; http://t.co/Zc3k9NDB1T,NOT
RT @slllick_: Trey Songz reply to Nicki Minaj &gt;&gt;&gt;&gt; ... That nigga spoke the truth on looking ass bitches lmao ... I knew someone was gonna &#8230;,HOF
@Swishas_Erbs No bitch Linda over KOD,HOF
RT @driswitdacake: bitches fwu when they wanna .. ha na bitch not over here,HOF
Since you hoes wanna be childish &#128514;&#128514;&#128514; http://t.co/P6v3xPXnrZ,HOF
"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?",NOT
The world is yours n every bitch in it,HOF
RT @Harmssy: RT @StrangeKeith: &#8220;@QuannDaDon: Word RT @TAN1AAA: Having zero hoes &gt;&gt;&gt;&gt;&#8221;,HOF
"RT @10thAmendment: Jihadi Killed #BrendanTevlin In N.J. W/ At Least 2 Others,Part Of Terrorist Ring 10 Yrs Ago http://t.co/qZtXJv9x8J http&#8230;",NOT
@SeanRossSapp Don't think anyone is mocking the man. I've seen people mock the bespectacle of social media mourning. Cultural zeitgeist of,NOT
"@desamador you gotta be like me n the twins, just chug it all before everyone",NOT
RT @lovindadrew: I don't know a bitch in the world that claim they too busy for a nigga they really fuck with.,HOF
I be using these fufu bitches &#128514;&#128514;,HOF
"People calling and complaining to Spinellis because of our Purge special.
Lmao pussies. #LouisvillePurge",HOF
RT @SpacePlankton: Saw a man in a yellow hat at the Grand Canyon today. He was hanging out next to a curious gorge.,NOT
@ThankYouAriana no one asked bitch,HOF
&#8220;@_chelousmuch_: bitch im weakkk vic &#128514;&#128514;&#128514;&#8221;&#128514;&#128514;,HOF
RT @DevyDevBlack: Yung Berg trying to fuck all these hoes.,HOF
I swear these hoes *aint got nothing on you * &#9996;&#65039;&#128522;&#128591;,HOF
RT @Tierrraaaaa: no sex bitch I only want the neck bitch .,HOF
RT @WeLoveKi: Hol on bitch &#128553;&#128514;&#128557; https://t.co/RYESvYaI2u,HOF
"""bitch freak my shit""",HOF
@DoeMostDope @mattrbennett209 @JohnnieGoings ha booner has that twitter @boone_boone5356 ha,NOT
RT @Seinfeld2000: Uncle leo find iWatch in trash can http://t.co/T7GCSMCYLB,NOT
LeBron bout to cry lil bitch,HOF
@geokthree I literally just told @Black_SinS to his face how trash he is at the shop in hooping,NOT
@X_XPDOTJDOT she remembers the dick lol and wants it again. I recommend you shoot a bitch if she show up. She might snap,HOF
@JennaHord12 Nooo Amber's supposed to kill me fag,HOF
RT @TorahBlaze: @1SonofYahweh hell yea! I don't know what's wrong w the brothas that love these cave hoes so damn much... #StopItNow,HOF
When you colored every day is Sunday,NOT
Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.,HOF
She a hoe cause your boyfriend want her? she scary cause she dont talk shit like y'all? she ugly cause you don't like her? GROW UP!,HOF
I wish everyone I knew wasn't a faggot a try hard or a sketchball,HOF
@aaliyahhhm I knowww righttt. I don't even know how to use this shit. How I update my status on this hoe?,HOF
RT @haztv: Stop forcing ya kids to take these pictures u trying to trap niggas online wit u funky hoes,HOF
I'm retarded hungover and all we had were beers. A lot of beers.,HOF
RT @Yansii_: This bitch don went super saiyan 5 at walmart http://t.co/xkF59toVcK,HOF
"' Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?",HOF
@CapoDaAssHole wiz had a warrant like a bitch,HOF
Allergies ain't bothered me all summer now all of a sudden in the middle of august shit is startin to get real. Ain't that about a bitch,HOF
It aint nuffin to cut that bitch off!!!!,HOF
&#8220;@salsteelo: I got 1 felony!!!&#8221; I got bitches,HOF
@Chink_19 shut up chink.!!!,HOF
RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag,HOF
RT @WhiteBoyCeezy: these hoes too familiar,HOF
#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,HOF
RT @TittyFlex: So they both was selling pussy and doing dirt together and they fell out so they putting each other on blast even though the&#8230;,HOF
Son of a bitch,HOF
"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. 
#IStandWithIsr&#8230;",NOT
well ain't that a bitch,HOF
@Juicy_james01 ain't no love 4 these hoes,HOF
RT @KiiingJaay_: I'm about my commas bitch period,HOF
"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama.""",HOF
"300 bitch we hot, we done took flight !",HOF
RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;,NOT
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",HOF
"RT @WBeezy_: ""@I_DontKIAra: my pussy dry 24/7 &#128530;"" http://t.co/yPvNTYdU28",HOF
"RT @babyyhogg: Ayy fag , you still having your party tonight ?! @weidie1211 &#127867;&#127867;&#128540;",HOF
&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU,HOF
Everybody got foreign bitches and foreign cars &#128564;&#128564;,HOF
@Coley_Cee yes bitch I do realize dat,HOF
"@HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels",NOT
"RT @OfficiallyIce: RT @Manatti23: ""I fucked your bitch cause she gave me a boner, she went down twice like Adrien Broner..."" #FreckBars",HOF
This bitch tweets been on point the few minutes I been on.,HOF
"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",HOF
"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc",NOT
RT @CrooklynxDodger: When @MeechIsDEAD said &#8220;Fast bitch I call her Bizzy (busy) cause she only bone thugs&#8221; http://t.co/qs9XUeu1VA,HOF
"RT @KevinHart2ReaI: All Bow Wow hoes on the stage, lol",HOF
Yea bitch &#128514; how dat shit feel http://t.co/C7H0TfJDET,HOF
Charlie is so adorable. http://t.co/TMpBYyjGFL,NOT
@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk,HOF
"So the Flash pops is the Dawson pops. 

I think he mighta actually killed the mom. 

Cuz Gail was a lying, cheating bitch.",HOF
This foo came to the club wit his bitch on a leash &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/wC4ub0UN6b,HOF
Ion know why this bitch insists on telling me where she be going now. Idgaf about chu bitch like damn.,HOF
RT @lonernigga: School is so pointless. I'm just trying to pass the class and get out this bitch,HOF
@B_McC10ud that's meant toward my dads gf shes a bitch dude,HOF
Unlike some of yall boring ass bitches lol,HOF
@PennyTheGOAT right in the pussy,HOF
Old lady went to pay and reached all the way over my plate. Hate eating on bar countertops. Stupid white bitch.,HOF
RT @OhArias: I make the pussy cringe http://t.co/LNB2UXXQem,HOF
RT @bankheist: you're a retard @ShawnaCarr99,HOF
"RT @UnicornCowboy: @UglyNi99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus&#8230;",HOF
@Huntermoore fuck my throbbing pussy slowly,HOF
@xsotoxevelynx haha yuhhh did I hit that hoe or what,HOF
just got done biking with my dyke,HOF
@JimNorton Hey Jim you'll love this http://www.wwtdd.com/2010/05/gabourey-sidibe-is-a-complete-bitch/,HOF
@reneeXOmarie yeah she didnt wana bring that pussy to us or tell us where he was so we could just go find one Mexican in this city full,HOF
"RT @SimplyPerfectt_: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",NOT
I wonder where all these bitches I got at ?,HOF
RT @_tiffnasty: Why do y'all niggas entertain that Nicole bitch? I don't see how y'all can ever take a bitch that posted naked pics serious&#8230;,HOF
"gotta tip for the monogamous niggas, yo bitch fuckin' anonymous nigga.",HOF
Lolololol not to be a hoe but that was a nyyce one,HOF
&#128131;&#128131; &amp; if you ain't a ho get up out my trap hooouseee.,HOF
I got more private tracks than public on my soundcloud. I needa finish these joints so i can sick em on yall hoes,HOF
RT @toddknife: Full @weakenednachos set (except the last song) from Southern Darkness Fest last month. Who's the ape on guitar? https://t.c&#8230;,NOT
RT @__queenshaun: &#8220;@JuicelessEss_: If you ask me every bitch gay.&#8221; true dat true dat,HOF
@Ilovebamf is my big long lost brother I swear. I don't know what I'd do without this wetback.,HOF
Serious question here; How many country songs mention honkey tonk(s)?,NOT
Just in case the day couldn't get better wife's Rav 4 had a flat and being the redneck I am I put 16 inch rims on it so there goes $200x2,NOT
"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",HOF
I can not &amp; will not fuck with theses dawg ass hoes no more ...,HOF
"All theses hoes on me , they so phony &#128534;",HOF
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/8KUzaPFCMF,NOT
@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to,NOT
RT @tbhjuststop: my score on flappy bird is higher than the broncos score right now,NOT
"Mary Jane is a dumb bitch
Peter has a job saving the city as Spiderman and she's bitching about how he hasn't came to her play",HOF
"Still really confused re #humplayproblems i think lucricus
Is a fag dagger",HOF
&#128175; my bitch &#128079;&#128523;,HOF
RT @TheRealIceTre: hot pockets &gt; hoes,HOF
"Fuck you, #BobCostas! That football SCUM woulda stabbed his gf to death and slit his wrists instead of shooting. Yer a fool.",HOF
I'm gonna be ghetto and color over the stain with a sharpie ctfu,NOT
RT @HighSociety26: These old hoes is madddd that @DrayaFace and @MalaysiaPargo slayed they attire!!! #BasketballWivesLA #DrayaMondays #Mala&#8230;,HOF
@jennahnorberg because its retarded. lol jk were the same,HOF
"LOL at the Benghazi ""hearings"" that proved nothing other than Republicans only care about taking down PBO. #foxnews #teabaggers",NOT
I think I read the worst interview ever. Lee Castro and one of the 2 dope bitches. Neither one of these two belong in media.,HOF
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",NOT
RT @Joan_Rivers: Charlie Sheen will star in a new sitcom as an anger management therapist. So what's next? Casey Anthony as the owner of ...,NOT
Only movie i cant wait to see.. Tansformers4 . if its a fail im going killer ape shit on michael bay,HOF
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,HOF
RT @ItsFoodPorn: Oreo Cheesecake Bars http://t.co/RlHHIM98FL,NOT
RT @StephenGoetz2: These hoes ain't loyal,HOF
Oh shit! &#128557;&#128128; RT @ImDatNigga_Jack: &#8220;@Sherman_King: Dallas trash.&#8221; Your hairline is trash,HOF
RT @ygAddie: Obama a bitch.,HOF
"RT @hayybacon: &#8220;@phizzyph0: If she got the Chipotle Plug, Cuff that hoe&#8221; #TwitterlessAlex @vngelinaa_",HOF
Why am I being such a bitch today? #lol,HOF
@alyssawiens faggot,HOF
@AmirEldouh @jwheels3 Ali is a hoe for that,HOF
"RT @HuffingtonPost: Obama: ""I will always do what is necessary to protect the American people and defend against evolving threats to our ho&#8230;",NOT
Not about to play these games with this bitch,HOF
@OTG_Kapo thats what i call it too !! Lol its beyond ghetto smh but man u needa quit playin and come back,HOF
This nigga Magic Johnson got a Grade A faggot for a son &#128514;&#128514;.. He had to have done some terrible shit growin up lol..,HOF
Lmao! RT @CapoToHeaven Lmao RT @HeauxmerSimpson: @AtlanticCity you'll never be Vegas. You faggot punk bitch.,HOF
"@JfromHuntington #Savages 
Day is like coloreds dat wrap day hoes like mummies",HOF
I got 99 problems but a bitch ain't 1!,HOF
@NurbsTheOcho8 @tori_mills02 not dykes or anything&#128111;&#128539;&#128109;,HOF
"RT @FukTylar: ""Heard you was talkin trash like I wouldn't find out"" http://t.co/8LpcnHM9XB",NOT
@ZaneIsClasker the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro,HOF
And I'm out bout $50 .. These hoes be pimping me man &#128514;,HOF
Smoke sesh niggah what u mean,HOF
RT @ObamaStrawman: Joan Rivers said I was gay and Michelle was a tranny. Perhaps her death was no accident. See Clinton's and Ron Brown/Vin&#8230;,HOF
@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,HOF
"Damn lol &#8220;@Pearls_N_Kisses: Take a picture, it last longer than staring like a weird ass bitch.&#8221;",HOF
RT @DrugFree_DatzMe: Fuk being on some chill shit . I go 0 to 100 hoes real quick. &#128526;,HOF
Omg I will kill you for liking that pic I swear bitch,HOF
The only part of the awards that I liked was the dykes part of the cypher &amp; the old skool female MCs.,HOF
"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",HOF
"RT ""@DestineyDunbar: This shit for the birds . &#128530;&#8221;",HOF
RT @hotwata: &#8220;@VSamone: tom ford probably fucking all these hoes&#8221; he probably would be if he wasn't a homosexual,HOF
"byeeeee bitch, &#128540;",HOF
"""No boats and hoes please thanks"" - Mom",HOF
"@MarieJoseGMH @DWB666 @seahopke @zenterrorist86 tegenwoordig weet je ook al niet wat voor vlees je eet,voor je t weet is t zebra of een aap",NOT
"Sometimes, even I gotta tell these hoes to grow up smh",NOT
@Molly_m5462 better bitch!:),HOF
RT @KingHorseDick: Nowadays if u have a threesome with these new generation bitches.. that one hoe gonna go tell everybody she fucked both &#8230;,HOF
Too much makeup so trash..,NOT
You say no to ratchet pussy but juicy-j can't! Bands will make her dance,HOF
But rich is a light skin coon. So it's expected.,NOT
RT @VillageBae: I hate when faggots talk shit on here then block me so I can't respond. Bitch I will write you a letter with my response an&#8230;,HOF
@kieffer_jason umm you sure the hoes I talk to aren't ugly,HOF
Like god damn you dirty bitch,HOF
@RomeoTorres99 bro do you fist bitches with that shit,HOF
"You little stupid ass bitch, i aint fuckin with you!!!!!",HOF
"RT @natedavvg: grab her booty in front of niggas that want her

grab her booty in front of bitches that want you",HOF
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",HOF
&#8220;@Queendev_: My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick,NOT
